trace,vc_limit,races_undead,races_pwrundead,races_pwrundeadextra,time_taken_full_undead,time_taken_full_pwrundead,time_taken_full_pwrundeadextra,time_taken_phase2_undead,time_taken_phase2_pwrundead,time_taken_phase2_pwrundeadextra,undead_deps_thread,pwr_deps_thread,extra_deps_thread,vc_limit_exceeded,vc_limit_exceeded_dep_counter,locks,reads,writes,acquires,releases,forks,joins,notifies,waits
account.std,5,0,0,0,0,0,0,0,0,0,0 1 1 1 0,0 2 2 1 0,0 0 0 0 0,0,0,3,64,53,5,5,6,1,0,0
airlinetickets.std,5,0,0,0,0,0,0,0,0,0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0,0,0,77,50,0,0,13,0,0,0
array.std,5,0,0,0,2,0,0,0,0,0,0 1 2 0,0 1 2 0,0 0 0 0,0,0,2,8,32,3,3,5,0,0,0
boundedbuffer.std,5,0,0,0,1,1,1,0,0,0,1 1 0,4 30 0,0 0 0,25,1,2,157,101,34,34,6,0,0,0
bubblesort.std,5,0,0,0,2,3,3,0,0,0,1 1 1 1 1 1 1 1 1 1 1 1 0,17 11 8 7 6 6 6 16 19 12 2 11 0,0 0 0 0 0 0 0 0 0 0 60 0 0,119,2,2,3964,407,121,121,28,0,0,0
bufwriter.std,5,0,0,0,10,15,15,0,0,0,0 1 1 1 1 0 0,0 336 1 505 532 0 0,0 0 0 0 0 0 0,1358,1,1,15850,3640,1374,1374,8,4,0,0
clean.std,5,0,0,7,1,1,1,0,0,0,0 0 2 2 2 2 2 2 0 0,0 0 2 38 46 47 47 59 0 0,0 0 0 0 0 15 14 2 0 0,202,4,2,687,123,239,239,11,0,0,0
critical.std,5,0,0,0,0,0,0,0,0,0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0,0,0,18,33,0,0,6,2,0,0
derby.std,5,0,0,45,3462,1215,108920,2726,305,1541,0 835 945 2401 0,0 10934 5163 12090 0,0 127270146 67423573 0 0,194699221,3053,1112,879507,442272,28187,28187,6,2,0,0
ftpserver.std,5,0,0,157,27,40,1936,1,3,1507,0 2 81 103 205 109 1 3 0 94 64 0,0 2 834 1062 1517 1335 7 9 0 135 597 0,0 0 40828 64963 2263 24655 0 0 0 39087 8207 0,176239,981,301,30049,8498,5498,5498,13,4,0,0
jigsaw.std,5,6,0,270,1391,1669,31328,3,6,28,44 84 0 0 1 14 2 1 172 205 0 0,114 253 0 0 2 25 6 1 1641 3390 0 0,417 27779 0 0 0 29 31 0 30621 0 0 0,60531,477,275,2638837,437263,5432,5432,14,4,0,0
lang.std,5,0,0,0,4,4,5,0,0,0,0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0,0,0,0,4321,1922,0,0,9,5,0,0
linkedlist.std,5,0,0,0,451,589,47346,11,4,5,0 101 101 101 101 101 101 101 101 101 101 1 0,0 200 200 200 200 200 200 200 200 200 200 1 0,0 5 2 2 4 15 14 11 3 3 6 0 0,950,1,1002,993177,5084,2001,2001,14,10,0,0
lufact.std,5,0,0,0,57754,82577,87033,0,0,0,0 0 0 1 0,0 0 0 6 0,0 0 0 0 0,1,1,1,90647341,43431687,6,6,4,3,0,0
luindex.std,5,0,0,0,182319,220476,274226,0,0,0,31 54 0,96278 111086 0,0 8783 0,215776,56,65,313656441,83680962,207364,207364,3,0,0,0
lusearch.std,5,0,0,657,96187,116352,814633,0,0,89,0 22 23 42 41 43 10 0,0 20501 20700 42054 41954 41581 59 0,0 688 3811 5321 4171 2944 318 0,181621,314,118,162140579,55011649,166849,166849,9,0,0,0
mergesort.std,5,0,0,0,3,3,2,0,0,0,0 1 1 2 2 0,0 11 24 15 5 0,0 0 0 1 0 0,33,1,3,1996,916,55,55,7,3,0,0
moldyn.std,5,0,0,0,83,93,102,0,0,0,0 0 2 0,0 0 31 0,0 0 0 0,21,2,2,182757,17470,31,31,5,1,0,0
pingpong.std,5,0,0,0,1,0,0,0,0,0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0,0,0,57,74,0,0,20,0,0,0
producerconsumer.std,5,0,0,0,1,1,1,0,0,0,0 2 1 1 1 2 1 1 0,0 5 1 1 1 20 9 9 0,0 52 15 15 15 0 24 48 0,148,3,3,392,160,46,46,9,5,0,0
raytracer.std,5,0,0,0,7,9,10,0,0,0,0 1 7 0,0 1 59 0,0 0 0 0,42,2,8,10373,5272,60,60,5,1,0,0
readerswriters.std,5,0,0,0,5,7,8,0,0,0,0 1 1 1 1 0,0 235 349 571 574 0,0 0 0 0 0 0,1709,1,1,5623,2180,1729,1729,6,0,0,0
sor.std,5,0,0,0,278883,393562,459217,0,0,0,1 1 1 2 0,256043 63246 82553 231711 0,0 0 0 0 0,633528,2,2,504056016,101598263,633553,633553,4,3,0,0
sunflow.std,5,0,0,630,5079,7254,12937,0,0,3,2 2 2 5 0 1 4 4 7 4 5 5 6 5 5 6 5,2 2 2 91 0 94 33 32 66 30 32 36 35 35 30 36 31,11 0 11 7138896 0 0 62 59 75 48 60 65 65 61 71 56 67,7139681,9,9,8953200,2702655,587,587,16,12,0,0
tsp.std,5,0,0,0,139254,166237,220544,0,0,0,2 2 1 1 2 1 2 2 1 0,26 8 7 9 10 8 8 14 1 0,0 279483 2039613 200168 4474644 706722 301326 0 0 0,8001960,3,2,283647273,23660529,91,90,9,0,0,0
twostage.std,5,0,0,0,2,1,1,0,0,0,0 2 2 2 2 2 2 2 2 2 2 0 0,0 2 2 2 2 2 2 2 2 2 2 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,2,106,33,20,20,14,0,0,0
wronglock.std,5,0,0,0,1,1,1,0,0,0,0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1,0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1,0 4 4 4 4 4 4 4 4 4 0 4 0 0 0 0 0 0 20 20 20 20 20,75,1,2,134,48,20,20,24,0,0,0
